entity_type	id	classification	local_title	remote_title	local_created	remote_created
task	cas-7de3	same_identity_wrong_or_unscoped_binding	Upgrade OpenClaw on Vultr: 2026.4.5 → 2026.4.8	Upgrade OpenClaw on Vultr: 2026.4.5 → 2026.4.8	2026-04-08T12:05:12.675702796+00:00	2026-04-08T12:05:12.675702796Z
task	cas-8dd8	foreign_id_collision	Queue drainage: park poison-head instead of FIFO-stalling, fix duplicate-enqueue (defects B+C)	Deploy workflows "verify" build output with `ls ... || echo ERROR` — a check that structurally cannot fail the job	2026-06-15T21:39:03.404680937+00:00	2026-08-04T21:15:32.080810Z
task	cas-900b	foreign_id_collision	Transcript-path surfacing: glob instead of reconstructing CC cwd escape	Migrate development database images and decide local Redis authority	2026-04-23T16:58:56.619190148+00:00	2026-08-04T02:04:53.890396800Z
task	cas-97b3	same_identity_wrong_or_unscoped_binding	Phase B: VPS gog petra wire-up — credentials, OAuth split-machine flow, smoke tests	Phase B: VPS gog petra wire-up — credentials, OAuth split-machine flow, smoke tests	2026-04-08T12:40:26.898924681+00:00	2026-04-08T12:40:26.898924681Z
task	cas-9d74	foreign_id_collision	depth flag: end-to-end test + user docs	Cancellation ship follow-through (Aug 6): staging verify + prod credit backfill + coleen remediation	2026-06-22T20:12:59.778054421+00:00	2026-08-06T20:00:32.681673632Z
task	cas-9eef	same_identity_wrong_or_unscoped_binding	Resume tier3 rsyncs from unicron (home/personal/projects/petrastella)	Resume tier3 rsyncs from unicron (home/personal/projects/petrastella)	2026-04-27T02:50:44.357356959+00:00	2026-04-27T02:50:44.357356959Z
task	cas-a653	foreign_id_collision	worker_status "last activity" is CAS-event-only — a heads-down Codex worker is reported STALLED with a frozen timestamp while actively working	Assign every Prisma model an owner, invariant, retention, and disposition	2026-07-27T21:02:24.126537308+00:00	2026-08-03T22:25:29.123817199Z
task	cas-bd04	foreign_id_collision	Refactor: parameterize support::setup_cas with AgentRole	Customers whose card fails are locked out immediately and never told why	2026-05-01T19:15:35.617192256+00:00	2026-07-28T18:28:51.253731343Z
task	cas-c1f0	same_identity_wrong_or_unscoped_binding	Fix OpenClaw vultr: probe Browserless truth, apply model swap + dynamic-scrape Option C	Fix OpenClaw vultr: probe Browserless truth, apply model swap + dynamic-scrape Option C	2026-04-09T01:11:48.392789116+00:00	2026-04-09T01:11:48.392789116Z
task	cas-cc1d	same_identity_wrong_or_unscoped_binding	test(close): cover epic_subtask_receipts_cover bypass path (cas-3086 follow-up)	test(close): cover epic_subtask_receipts_cover bypass path (cas-3086 follow-up)	2026-04-23T16:22:00.902603332+00:00	2026-04-23T16:22:00.902603332Z
task	cas-cd8b	foreign_id_collision	Fix verifier dispatch, close-reason filter, and supervisor prompt gaps (2026-04-08 regression)	T1.5 — Enforce accounts.deletedAt in validateUserSession	2026-04-08T13:00:40.609738901+00:00	2026-05-09T15:17:50.496500824Z
task	cas-ce7e	foreign_id_collision	Unify the duplicated HOME/env test-isolation helpers into ONE — four helpers across two mutexes cause the codex-fallback flake family	Menu scan: multi-photo analysis fails — "can't analyze right now" with front+back photos, single photo succeeds	2026-07-28T12:49:52.162964468+00:00	2026-07-30T14:34:49.545469701Z
task	cas-cf44	foreign_id_collision	EPIC: Team memories never populate from normal CLI usage	Frontend: invoices / payment history table on /billing	2026-04-16T16:24:22.499620996+00:00	2026-05-11T21:37:20.947443668Z
task	cas-d0f9	same_identity_wrong_or_unscoped_binding	Supervisor skill: surface "rebuild cas serve" warning before factory session	Supervisor skill: surface "rebuild cas serve" warning before factory session	2026-04-23T14:41:13.900609666+00:00	2026-04-23T14:41:13.900609666Z
task	cas-db8f	same_identity_wrong_or_unscoped_binding	EPIC: OpenClaw on vultr stops after one step — diagnose and fix	EPIC: OpenClaw on vultr stops after one step — diagnose and fix	2026-04-09T00:56:12.302279387+00:00	2026-04-09T00:56:12.302279387Z
task	cas-e48b	foreign_id_collision	[MED] Avoid Vec<&str> allocation per line in numstat parsing	SPIKE (READ-ONLY): characterize orphaned agent processes + /tmp tmpfs usage on soundwave; design detection rules	2026-03-30T13:06:54.434874883+00:00	2026-07-29T12:49:14.740037233Z
task	cas-ebc1	foreign_id_collision	EPIC: Factory TUI visual & information overhaul (OSC 8 links, branch visibility, sidecar density)	Wire file mutation/deletion consumers onto the durable ledger (first real behaviour change)	2026-07-06T20:40:41.479893690+00:00	2026-08-07T15:58:27.068048992Z
task	cas-f533	same_identity_wrong_or_unscoped_binding	Restore desktop entries + icons for all programs	Restore desktop entries + icons for all programs	2026-04-27T02:50:44.443831523+00:00	2026-04-27T02:50:44.443831523Z
task	cas-ffcd	same_identity_wrong_or_unscoped_binding	Enable Byte webchat session to proactively send Slack DMs	Enable Byte webchat session to proactively send Slack DMs	2026-04-08T14:15:10.487898418+00:00	2026-04-08T14:15:10.487898418Z
