project,project_path,worker_name,session_id,harness,source_db,source_transcript,source_factory_logs,factory_session,spawn_id,spawn_at,cli,model,effort,transcript_join_key,transcript_joined,session_first_at,session_last_at,task_id,task_title,task_status,task_closed,task_created_at,task_closed_at,lease_acquired_at,lease_released_at,lease_terminal_event,send_back_count,urgent_stop_count,merge_required_count,close_reason,first_push_at,minutes_to_first_push,input_tokens,cached_input_tokens,cache_creation_input_tokens,output_tokens,reasoning_tokens,tool_calls,cost_usd,home
Penguinz,/home/pippenz/Penguinz,quick-raven-43,01a03948-98ff-7830-b68a-390dc4aa46a9,codex,/home/pippenz/Penguinz/.cas/cas.db,/home/pippenz/.codex/sessions/2026/08/25/rollout-2026-08-25T10-17-34-01a03948-98ff-7830-b68a-390dc4aa46a9.jsonl,/home/pippenz/Penguinz/.cas/logs,Penguinz-kind-swan-75,209,2026-08-25T14:17:32.488Z,codex,gpt-5.6-terra,high,quick-raven-43,yes,2026-08-25T14:17:34.698Z,2026-08-25T14:34:04.875Z,cas-e356,Provision scratch root outside /home on soundwave and point CAS at it,closed,yes,2026-08-19T16:01:15.191Z,2026-08-25T14:21:58.499Z,,,,0,0,0,"Provisioned and adopted `/srv/cas/scratch`; migrated and preserved attic contents, removed legacy root, updated both staging settings, cleanup script/timer, and rule-002; fresh acceptance proof exited 0. No repo-side diff exists for a commit.",,,3917337,3726336,0,17007,8162,39,1.331353,default
Penguinz,/home/pippenz/Penguinz,codex-quick-raven-43-e5d4af3e-cba3-4afc-befb-fcfbfbf87d8b,db:unknown:codex-quick-raven-43-e5d4af3e-cba3-4afc-befb-fcfbfbf87d8b,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-quick-raven-43-e5d4af3e-cba3-4afc-befb-fcfbfbf87d8b,no,,,cas-e356,Provision scratch root outside /home on soundwave and point CAS at it,closed,yes,2026-08-19T16:01:15.191Z,2026-08-25T14:21:58.499Z,2026-08-25T14:17:50.940Z,2026-08-25T14:21:58.515Z,released,0,0,0,"Provisioned and adopted `/srv/cas/scratch`; migrated and preserved attic contents, removed legacy root, updated both staging settings, cleanup script/timer, and rule-002; fresh acceptance proof exited 0. No repo-side diff exists for a commit.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-quick-raven-43-e5d4af3e-cba3-4afc-befb-fcfbfbf87d8b,db:unknown:codex-quick-raven-43-e5d4af3e-cba3-4afc-befb-fcfbfbf87d8b,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-quick-raven-43-e5d4af3e-cba3-4afc-befb-fcfbfbf87d8b,no,,,cas-e55e,Backup reliability: retry+notify for both nightlies; promote datacube sync from manual/partial to scheduled/full,closed,yes,2026-08-05T17:14:14.176Z,2026-08-26T08:35:35.462Z,2026-08-25T14:23:00.125Z,2026-08-25T14:34:04.824Z,released,0,0,0,"All acceptance criteria now proven. (1) Retry+notify implemented and test-proven 2026-08-05 (both nightlies; restic retry later superseded by cas-d690's 600s gate). (2) Notification on failure proven by test 8/05. (3) Recurring datacube backup scheduled (Tier 5 in backup-to-unicron) with full scope. (4) ""At least one successful scheduled run of both units"": restic — scheduled successes 8/19 (b3e23eae), 8/20 (30b8ac42), 8/25 (41794836), 8/26 03:26 (7d11b1c0, 13 snapshots, Result=success); backup-to-unicron — scheduled run 2026-08-26 01:06→01:55, Result=success/ExecMainStatus=0, ""Datacube full mirror — OK"", ""Backup complete — no errors"" (first clean scheduled run after 8/25 supervisor remediation: /mnt/datacube/PATH.txt marker recreated, cas-aada artifact perms fixed). Post-verification cleanup: stale 37G .Trash-1000 in the mirror destination is protected-from---delete by its own exclude rule (8/05 expectation wrong); supervisor launched detached rm (unicron PID 1854152). Edit-in-place host task, no repo diff (restic snapshots version the scripts). OPERATOR ITEMS carried forward, unchanged: Tier4 (backup_evolution curated 639G) vs Tier5 (full mirror) datacube destination overlap — archive/ stored twice; Unraid turbo write md_write_method for faster bulk windows.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-happy-eagle-54-d703173a-b904-4d12-afe4-5d3363cb5853,db:unknown:codex-happy-eagle-54-d703173a-b904-4d12-afe4-5d3363cb5853,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-happy-eagle-54-d703173a-b904-4d12-afe4-5d3363cb5853,no,,,cas-a837,"Post-soak cleanup: retire old media shares, vestigial Plex mounts, compat symlinks (gate: ~2026-08-24)",closed,yes,2026-08-17T19:23:02.910Z,2026-08-25T15:58:58.424Z,2026-08-25T14:17:59.937Z,2026-08-25T14:35:50.606Z,released,0,0,0,"Phase B complete: recreated binhex-plex from supervisor-edited template; runtime now has only config, /data, approved /mnt/user/Movies, and music. Plex HTTP 200 plus exact baseline proof (11,529 video parts; watched 7,167; in-progress 1,029; Deadliest Catch 31 views/2026-08-25 01:45:48 UTC). Removed only seven verified file-free TV Shows directories on disks 1–7; cache path absent. No share cfg, Movies, mover, Empty Trash, relic tree, or rollback mutation. Durable receipt: artifacts://cas-a837/PHASE_B_RECEIPT.md; supervisor must remove /boot/config/shares/TV Shows.cfg.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-vivid-sparrow-58-9cb38680-6410-45c0-ab67-5ee04f51f878,db:unknown:codex-vivid-sparrow-58-9cb38680-6410-45c0-ab67-5ee04f51f878,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-vivid-sparrow-58-9cb38680-6410-45c0-ab67-5ee04f51f878,no,,,cas-a837,"Post-soak cleanup: retire old media shares, vestigial Plex mounts, compat symlinks (gate: ~2026-08-24)",closed,yes,2026-08-17T19:23:02.910Z,2026-08-25T15:58:58.424Z,2026-08-25T14:36:22.013Z,2026-08-25T15:58:58.726Z,released,0,0,0,"Phase B complete: recreated binhex-plex from supervisor-edited template; runtime now has only config, /data, approved /mnt/user/Movies, and music. Plex HTTP 200 plus exact baseline proof (11,529 video parts; watched 7,167; in-progress 1,029; Deadliest Catch 31 views/2026-08-25 01:45:48 UTC). Removed only seven verified file-free TV Shows directories on disks 1–7; cache path absent. No share cfg, Movies, mover, Empty Trash, relic tree, or rollback mutation. Durable receipt: artifacts://cas-a837/PHASE_B_RECEIPT.md; supervisor must remove /boot/config/shares/TV Shows.cfg.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-gentle-pelican-76-5c4ce6a1-e0c6-4756-93b7-918ea9b82a5d,db:unknown:codex-gentle-pelican-76-5c4ce6a1-e0c6-4756-93b7-918ea9b82a5d,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-gentle-pelican-76-5c4ce6a1-e0c6-4756-93b7-918ea9b82a5d,no,,,cas-fbad,"Unicron mover regression: 210GB of link-count-1, unheld /data files never moved cache→array by stock mover",closed,yes,2026-08-25T14:35:16.063Z,2026-08-25T20:27:00.261Z,2026-08-25T14:36:27.199Z,2026-08-25T15:55:23.197Z,released,0,0,0,"Intentional no-code operational delivery: restarting stale/wedged shfs fixed the mover; batches 1–11 drained all 236 media files / 209,389,511,672 B with zero byte delta, media-only low priority, and protected Usenet unchanged at 87 files / 1,270,418,850 B. Fresh proof: no mover, media 0/0, three exact-size array targets. Receipts: artifacts://cas-fbad/DRAIN_RECEIPTS.md. Supervisor reminder #151 owns the remaining 01:00 clean-scheduled-run verification.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-clever-eagle-74-181bfd78-e7ee-432e-8978-fa6d4bb537bb,db:unknown:codex-clever-eagle-74-181bfd78-e7ee-432e-8978-fa6d4bb537bb,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-clever-eagle-74-181bfd78-e7ee-432e-8978-fa6d4bb537bb,no,,,cas-537d,Install opencode CLI on soundwave + wire an update path,closed,yes,2026-08-25T14:43:57.450Z,2026-08-25T14:46:44.177Z,2026-08-25T14:44:55.006Z,2026-08-25T14:46:44.310Z,released,0,0,0,Installed official user-scoped OpenCode 1.18.23 for pippenz on soundwave; fresh interactive-shell invocation and `opencode upgrade --method curl` both exit 0. Durable receipt: /home/pippenz/.cas/artifacts/cas-537d/opencode-install-receipt.md. No repository diff exists because delivery is a host-scoped CLI installation.,,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-clever-eagle-74-181bfd78-e7ee-432e-8978-fa6d4bb537bb,db:unknown:codex-clever-eagle-74-181bfd78-e7ee-432e-8978-fa6d4bb537bb,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-clever-eagle-74-181bfd78-e7ee-432e-8978-fa6d4bb537bb,no,,,cas-9244,Local Qwen as a managed service + vramp toggle (per spike recommendation),closed,yes,2026-08-25T14:44:16.817Z,2026-08-25T15:35:32.059Z,2026-08-25T14:49:21.668Z,2026-08-25T15:08:22.850Z,released,0,0,0,"Supervisor close after direct-diff review (house policy) + approved verification ver-8fa84fa7875b. Delivered per accepted spike spec: qwen3 llama-server service (Conflicts=-enforced mutual exclusion), model on pooled shockwave assets, runtime smoke proven (10,337 MiB admission, /v1/models, chat OK, clean stop), vramp toggle deployed live. Merges: soundwave-config master 2176ed4; Penguinz epic a3a3c82. Work by clever-eagle-74 (service/docs/download checkpoint) + sharp-jay-9 (resume, smoke, toggle).",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db:unknown:codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,no,,,cas-056e,Swap Dustbunny (tmp-watch) panel palette to Tokyo Night,closed,yes,2026-08-25T15:07:33.501Z,2026-08-25T15:25:41.891Z,2026-08-25T15:11:34.160Z,2026-08-25T15:23:58.781Z,released,1,0,2,Merged into epic branch e6beaf3 and deployed by supervisor with install.sh install + proof passing; live Dustbunny tray is blue.,,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db:unknown:codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,no,,,cas-1644,Add shell alias launching opencode in yolo (auto-approve) mode,closed,yes,2026-08-25T14:49:59.473Z,2026-08-25T14:53:08.573Z,2026-08-25T14:50:27.991Z,2026-08-25T14:53:08.740Z,released,0,0,0,"Delivered host-local `opencode-yolo` alias in ~/.bashrc: it expands to `opencode --auto`, the documented OpenCode 1.18.23 auto-approve mode. Fresh interactive Bash proof exited 0; durable receipt `cas-1644/opencode-yolo-alias-receipt.md` records mechanism and source.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db:unknown:codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,no,,,cas-6372,Recolor vramp.svg tray icon to Tokyo Night blue,closed,yes,2026-08-25T15:27:39.437Z,2026-08-25T15:36:52.312Z,2026-08-25T15:27:54.180Z,2026-08-25T15:31:15.914Z,released,0,0,0,"Supervisor close: verification ver-bd711f51f9f9 approved; merged ae77674 → master c1e8f02; deployed (icon reinstall, tray bounce, icon-cache clear + plasmashell restart); user visually confirmed the blue tray.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db:unknown:codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,no,,,cas-8679,Make bare `opencode` start in yolo mode (follow-up to cas-1644),closed,yes,2026-08-25T14:55:54.084Z,2026-08-25T14:58:13.918Z,2026-08-25T14:56:24.251Z,2026-08-25T14:58:14.079Z,released,0,0,0,"Bare OpenCode now loads the persisted user-wide `permission: allow` policy from ~/.config/opencode/opencode.jsonc; opencode-yolo remains working. Fresh interactive resolved-config proof exited 0, and the durable receipt records the config-over-alias tradeoff.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db:unknown:codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,no,,,cas-a1c6,"Spike: Qwen3 variant + runtime research for soundwave (RTX 4080 16GB), incl. exo distributed option",closed,yes,2026-08-25T14:44:07.039Z,2026-08-25T14:48:32.770Z,2026-08-25T14:45:09.387Z,2026-08-25T14:48:32.928Z,released,0,0,0,Delivered durable research artifact `cas-a1c6/qwen3-runtime-recommendation.md`: recommends Qwen3-14B-GGUF Q5_K_M on existing llama-server at 16K with 13.12 GiB estimated allocation / 2.44 GiB headroom; rejects exo on present Linux/Unicron/1GbE hardware. Fresh artifact proof exited 0; clean worktree receipt recorded.,,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db:unknown:codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-calm-koala-69-96779e1a-1bb9-4a30-b063-4dd08533c486,no,,,cas-f368,Redesign vramp graph window in Dustbunny visual style,closed,yes,2026-08-25T14:44:25.378Z,2026-08-25T15:27:25.475Z,2026-08-25T15:04:52.520Z,2026-08-25T15:20:51.158Z,released,2,0,1,"Rendering-fix cycle complete: 966a895 merged to soundwave-config master ef5214b, redeployed live (unit vramp-tray), env-independence proven (env -i Wayland + screenshot), verifications ver-dfa7e5f805c2 and ver-93e1e140a8fd approved. vramp.svg recolor residual is split out via immediate reopen as its own cycle.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-keen-falcon-21-4d9702b0-cf21-4cad-9299-7f96170a3e55,db:unknown:codex-keen-falcon-21-4d9702b0-cf21-4cad-9299-7f96170a3e55,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-keen-falcon-21-4d9702b0-cf21-4cad-9299-7f96170a3e55,no,,,cas-f368,Redesign vramp graph window in Dustbunny visual style,closed,yes,2026-08-25T14:44:25.378Z,2026-08-25T15:27:25.475Z,2026-08-25T14:45:19.800Z,2026-08-25T15:04:11.981Z,released,2,0,1,"Rendering-fix cycle complete: 966a895 merged to soundwave-config master ef5214b, redeployed live (unit vramp-tray), env-independence proven (env -i Wayland + screenshot), verifications ver-dfa7e5f805c2 and ver-93e1e140a8fd approved. vramp.svg recolor residual is split out via immediate reopen as its own cycle.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-sharp-jay-9-cd2fd9ba-4d9f-45a6-92db-5e72127eb52f,db:unknown:codex-sharp-jay-9-cd2fd9ba-4d9f-45a6-92db-5e72127eb52f,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-sharp-jay-9-cd2fd9ba-4d9f-45a6-92db-5e72127eb52f,no,,,cas-9244,Local Qwen as a managed service + vramp toggle (per spike recommendation),closed,yes,2026-08-25T14:44:16.817Z,2026-08-25T15:35:32.059Z,2026-08-25T15:08:54.777Z,2026-08-25T15:35:06.142Z,released,0,0,0,"Supervisor close after direct-diff review (house policy) + approved verification ver-8fa84fa7875b. Delivered per accepted spike spec: qwen3 llama-server service (Conflicts=-enforced mutual exclusion), model on pooled shockwave assets, runtime smoke proven (10,337 MiB admission, /v1/models, chat OK, clean stop), vramp toggle deployed live. Merges: soundwave-config master 2176ed4; Penguinz epic a3a3c82. Work by clever-eagle-74 (service/docs/download checkpoint) + sharp-jay-9 (resume, smoke, toggle).",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-ready-bear-38-163a05a6-b1e8-4965-a2d2-929b153b05b6,db:unknown:codex-ready-bear-38-163a05a6-b1e8-4965-a2d2-929b153b05b6,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-ready-bear-38-163a05a6-b1e8-4965-a2d2-929b153b05b6,no,,,cas-1fef,Post QBO Changes — All Scriptable Actions from Bossman Responses,closed,yes,2026-08-25T15:07:58.331Z,2026-03-19T14:44:17.961Z,2026-08-25T15:36:26.180Z,2026-08-25T15:42:59.563Z,released,0,0,0,"All 7 JEs posted to QBO (920-926), $307,241 new deductions live. Reports updated. Script committed.",,,0,0,0,0,0,0,,default
